messstelle_id,year,stoff_nr,messergebnis_c,messergebnis_hinweis,messergebnis_cm,gemeinde_id,name,e32,n32,district
42011097,1980-08-06,1244,28.99999,0,=,5170024,Moers,334250,5709550,Wesel
42011097,1981-01-26,1244,48.00001,0,=,5170024,Moers,334250,5709550,Wesel
80201246,1984-03-20,1244,4.427,Konzentration zu gering zur Bestimmung,<,5154012,Geldern,306750,5709550,Kleve
40200255,1984-03-23,1244,4.427,Konzentration zu gering zur Bestimmung,<,5170004,Alpen,322950,5720350,Wesel
40200267,1984-03-23,1244,87.6546,0,=,5170048,Wesel,329650,5725150,Wesel
40200723,1984-03-26,1244,10.13783,0,=,5170052,Xanten,323550,5730150,Wesel
40200589,1984-03-26,1244,4.427,Konzentration zu gering zur Bestimmung,<,5154056,Uedem,316850,5725950,Kleve
80100703,1984-03-27,1244,4.427,Konzentration zu gering zur Bestimmung,<,5154064,Weeze,306265,5722163,Kleve
80100820,1984-03-27,1244,12.8383,0,=,5154016,Goch,304415,5727574,Kleve
80000113,1984-03-28,1244,98.7221,0,=,5154056,Uedem,313050,5727350,Kleve
80000101,1984-03-28,1244,4.427,Konzentration zu gering zur Bestimmung,<,5154064,Weeze,303950,5721350,Kleve
80000010,1984-03-28,1244,4.427,Konzentration zu gering zur Bestimmung,<,5154036,Kleve,301150,5744950,Kleve
80100648,1984-03-29,1244,4.427,Konzentration zu gering zur Bestimmung,<,5154032,Kevelaer,318050,5717450,Kleve
40200280,1984-03-30,1244,48.697,0,=,5170032,Rheinberg,333950,5710850,Wesel
80300418,1984-03-30,1244,94.7378,0,=,5154020,Issum,320350,5712050,Kleve
80100016,1984-04-02,1244,81.0141,0,=,5154040,Kranenburg,292750,5740550,Kleve
80100120,1984-04-03,1244,70.832,0,=,5154004,Bedburg-Hau,305550,5739850,Kleve
80200758,1984-04-03,1244,129.2684,0,=,5154036,Kleve,299850,5736850,Kleve
80200679,1984-04-04,1244,117.3155,0,=,5154024,Kalkar,313450,5734750,Kleve
80100806,1984-04-04,1244,36.7441,0,=,5154016,Goch,304454,5734586,Kleve
80201015,1984-04-04,1244,4.427,Konzentration zu gering zur Bestimmung,<,5154012,Geldern,312157,5707855,Kleve
80100740,1984-04-05,1244,84.5557,0,=,5154060,Wachtendonk,314650,5699050,Kleve
80100636,1984-04-06,1244,83.6703,0,=,5154028,Kerken,320066,5702155,Kleve
80200760,1984-04-12,1244,51.3532,0,=,5154004,Bedburg-Hau,302750,5739050,Kleve
40200462,1984-04-27,1244,4.427,Konzentration zu gering zur Bestimmung,<,5170012,Hamminkeln,327850,5742950,Wesel
80100235,1984-04-30,1244,104.9199,0,=,5154044,Rees,321898,5742416,Kleve
40200504,1984-04-30,1244,234.631,0,=,5170028,Neukirchen-Vluyn,330850,5700150,Wesel
47202063,1984-05-03,1244,5.29779,0,=,5170016,Hünxe,341550,5724650,Wesel
40200863,1984-06-15,1244,4.427,Konzentration zu gering zur Bestimmung,<,5170044,Voerde (Niederrhein),340299,5717211,Wesel
40061322,1984-06-15,1244,4.427,Konzentration zu gering zur Bestimmung,<,5170008,Dinslaken,342472,5715331,Wesel
80201556,1984-06-18,1244,4.427,Konzentration zu gering zur Bestimmung,<,5154052,Straelen,310317,5693030,Kleve
40061334,1984-06-19,1244,4.8697,0,=,5170008,Dinslaken,344750,5714950,Wesel
40200851,1984-06-19,1244,4.427,Konzentration zu gering zur Bestimmung,<,5170044,Voerde (Niederrhein),341050,5716450,Wesel
40200929,1984-06-27,1244,28.7755,0,=,5170048,Wesel,328285,5727805,Wesel
40200917,1984-06-27,1244,12.8383,0,=,5170048,Wesel,330350,5729450,Wesel
40100273,1984-06-27,1244,57.9937,0,=,5170048,Wesel,335050,5729950,Wesel
40200516,1984-06-28,1244,74.3736,0,=,5170048,Wesel,330850,5727350,Wesel
40200875,1984-06-28,1244,72.1601,0,=,5170048,Wesel,334551,5727355,Wesel
40200899,1984-06-28,1244,4.427,Konzentration zu gering zur Bestimmung,<,5170048,Wesel,338250,5729850,Wesel
40100315,1984-06-29,1244,40.2857,0,=,5170048,Wesel,336550,5723350,Wesel
40100285,1984-06-29,1244,42.0565,0,=,5170048,Wesel,338350,5727350,Wesel
40200267,1984-07-16,1244,84.113,0,=,5170048,Wesel,329650,5725150,Wesel
40200589,1984-07-16,1244,4.427,Konzentration zu gering zur Bestimmung,<,5154056,Uedem,316850,5725950,Kleve
42013550,1984-07-25,1244,89.00001,0,=,5170024,Moers,335721,5701075,Wesel
80200941,1984-08-21,1244,35.416,0,=,5154044,Rees,327050,5737750,Kleve
80200059,1984-08-22,1244,103.1491,0,=,5154044,Rees,324750,5733250,Kleve
80200930,1984-08-24,1244,82.3422,0,=,5154044,Rees,322827,5737525,Kleve
40200905,1984-08-27,1244,35.8587,0,=,5170048,Wesel,328350,5732350,Wesel
40100250,1984-08-27,1244,51.3532,0,=,5170012,Hamminkeln,327950,5735450,Wesel
40100182,1984-08-28,1244,4.427,Konzentration zu gering zur Bestimmung,<,5170012,Hamminkeln,333405,5733890,Wesel
40100169,1984-08-28,1244,4.427,Konzentration zu gering zur Bestimmung,<,5170012,Hamminkeln,329550,5740350,Wesel
40300183,1984-09-03,1244,4.427,Konzentration zu gering zur Bestimmung,<,5170012,Hamminkeln,344740,5733961,Wesel
40201508,1984-09-03,1244,180.6216,0,=,5170012,Hamminkeln,337650,5738550,Wesel
40201491,1984-09-03,1244,165.1271,0,=,5170012,Hamminkeln,334650,5739850,Wesel
40060100,1984-09-04,1244,13.7237,0,=,5170036,Schermbeck,344250,5730650,Wesel
80100132,1984-09-05,1244,57.551,0,=,5154008,Emmerich am Rhein,307335,5747915,Kleve
40100261,1984-09-05,1244,101.821,0,=,5170012,Hamminkeln,331250,5732650,Wesel
80000046,1984-09-05,1244,123.956,0,=,5154008,Emmerich am Rhein,311035,5747795,Kleve
44060040,1984-10-04,1244,10.1821,0,=,5170016,Hünxe,343071,5719169,Wesel
42013550,1984-10-16,1244,71.0,0,=,5170024,Moers,335721,5701075,Wesel
86621567,1984-12-10,1244,3.49999,0,=,5154016,Goch,297907,5734460,Kleve
86621555,1984-12-10,1244,36.29998,0,=,5154016,Goch,298795,5734048,Kleve
42013550,1985-01-29,1244,68.0,0,=,5170024,Moers,335721,5701075,Wesel
80201556,1985-03-01,1244,4.427,Konzentration zu gering zur Bestimmung,<,5154052,Straelen,310317,5693030,Kleve
40200504,1985-03-01,1244,194.788,0,=,5170028,Neukirchen-Vluyn,330850,5700150,Wesel
40061322,1985-03-05,1244,4.427,Konzentration zu gering zur Bestimmung,<,5170008,Dinslaken,342472,5715331,Wesel
40200863,1985-03-06,1244,4.427,Konzentration zu gering zur Bestimmung,<,5170044,Voerde (Niederrhein),340299,5717211,Wesel
40061334,1985-03-06,1244,4.427,Konzentration zu gering zur Bestimmung,<,5170008,Dinslaken,344750,5714950,Wesel
40200851,1985-03-06,1244,4.427,Konzentration zu gering zur Bestimmung,<,5170044,Voerde (Niederrhein),341050,5716450,Wesel
80100648,1985-03-07,1244,4.427,Konzentration zu gering zur Bestimmung,<,5154032,Kevelaer,318050,5717450,Kleve
80300418,1985-03-07,1244,53.124,0,=,5154020,Issum,320350,5712050,Kleve
40200280,1985-03-07,1244,38.0722,0,=,5170032,Rheinberg,333950,5710850,Wesel
80100697,1985-03-08,1244,123.956,0,=,5154064,Weeze,301850,5719450,Kleve
80201246,1985-03-08,1244,4.427,Konzentration zu gering zur Bestimmung,<,5154012,Geldern,306750,5709550,Kleve
40100273,1985-03-12,1244,44.27,0,=,5170048,Wesel,335050,5729950,Wesel
40200917,1985-03-12,1244,15.0518,0,=,5170048,Wesel,330350,5729450,Wesel
40200516,1985-03-12,1244,88.54,0,=,5170048,Wesel,330850,5727350,Wesel
40100285,1985-03-13,1244,39.843,0,=,5170048,Wesel,338350,5727350,Wesel
40200899,1985-03-13,1244,4.427,Konzentration zu gering zur Bestimmung,<,5170048,Wesel,338250,5729850,Wesel
40200929,1985-03-14,1244,13.7237,0,=,5170048,Wesel,328285,5727805,Wesel
40200255,1985-03-14,1244,4.427,Konzentration zu gering zur Bestimmung,<,5170004,Alpen,322950,5720350,Wesel
40200589,1985-03-14,1244,4.427,Konzentration zu gering zur Bestimmung,<,5154056,Uedem,316850,5725950,Kleve
40100297,1985-03-15,1244,146.091,0,=,5170048,Wesel,340900,5725671,Wesel
40100315,1985-03-15,1244,36.7441,0,=,5170048,Wesel,336550,5723350,Wesel
40200723,1985-03-18,1244,8.4113,0,=,5170052,Xanten,323550,5730150,Wesel
40200267,1985-03-18,1244,75.259,0,=,5170048,Wesel,329650,5725150,Wesel
40200875,1985-03-18,1244,61.978,0,=,5170048,Wesel,334551,5727355,Wesel
86621555,1985-04-02,1244,40.89999,0,=,5154016,Goch,298795,5734048,Kleve
86621567,1985-04-02,1244,6.09996,0,=,5154016,Goch,297907,5734460,Kleve
40060100,1985-04-18,1244,8.854,0,=,5170036,Schermbeck,344250,5730650,Wesel
40070130,1985-04-18,1244,4.8697,0,=,5170036,Schermbeck,352290,5728685,Wesel
42013550,1985-04-24,1244,63.99999,0,=,5170024,Moers,335721,5701075,Wesel
40070608,1985-05-08,1244,85.4411,0,=,5170036,Schermbeck,354450,5723750,Wesel
40300183,1985-05-21,1244,6.6405,0,=,5170012,Hamminkeln,344740,5733961,Wesel
40201508,1985-05-21,1244,62.8634,0,=,5170012,Hamminkeln,337650,5738550,Wesel
40201491,1985-05-21,1244,121.7425,0,=,5170012,Hamminkeln,334650,5739850,Wesel
40200905,1985-05-23,1244,23.9058,0,=,5170048,Wesel,328350,5732350,Wesel
80200059,1985-05-23,1244,95.6232,0,=,5154044,Rees,324750,5733250,Kleve
80100636,1985-05-24,1244,84.113,0,=,5154028,Kerken,320066,5702155,Kleve
80100740,1985-05-29,1244,110.675,0,=,5154060,Wachtendonk,314650,5699050,Kleve
80201015,1985-05-29,1244,2.2135,Konzentration zu gering zur Bestimmung,<,5154012,Geldern,312157,5707855,Kleve
80200023,1985-05-29,1244,2.2135,Konzentration zu gering zur Bestimmung,<,5154044,Rees,325510,5736030,Kleve
44060040,1985-06-03,1244,1.90361,0,=,5170016,Hünxe,343071,5719169,Wesel
80100120,1985-06-03,1244,77.9152,0,=,5154004,Bedburg-Hau,305550,5739850,Kleve
80200679,1985-06-03,1244,115.102,0,=,5154024,Kalkar,313450,5734750,Kleve
86612025,1985-06-04,1244,9.19997,0,=,5154012,Geldern,318050,5709750,Kleve
80100016,1985-06-05,1244,119.0863,0,=,5154040,Kranenburg,292750,5740550,Kleve
80200760,1985-06-05,1244,39.4003,0,=,5154004,Bedburg-Hau,302750,5739050,Kleve
80200758,1985-06-07,1244,139.0078,0,=,5154036,Kleve,299850,5736850,Kleve
80100806,1985-06-07,1244,46.0408,0,=,5154016,Goch,304454,5734586,Kleve
80100235,1985-06-10,1244,108.9042,0,=,5154044,Rees,321898,5742416,Kleve
40200462,1985-06-10,1244,0.61978,0,=,5170012,Hamminkeln,327850,5742950,Wesel
80000010,1985-06-11,1244,6.1978,0,=,5154036,Kleve,301150,5744950,Kleve
80000046,1985-06-11,1244,146.091,0,=,5154008,Emmerich am Rhein,311035,5747795,Kleve
47202063,1985-06-11,1244,5.48948,0,=,5170016,Hünxe,341550,5724650,Wesel
80100132,1985-06-13,1244,58.8791,0,=,5154008,Emmerich am Rhein,307335,5747915,Kleve
42013550,1985-07-10,1244,83.00001,0,=,5170024,Moers,335721,5701075,Wesel
40200516,1985-07-16,1244,88.9827,0,=,5170048,Wesel,330850,5727350,Wesel
40200929,1985-07-16,1244,26.562,0,=,5170048,Wesel,328285,5727805,Wesel
40200875,1985-07-17,1244,65.9623,0,=,5170048,Wesel,334551,5727355,Wesel
40100273,1985-07-17,1244,43.8273,0,=,5170048,Wesel,335050,5729950,Wesel
40200917,1985-07-17,1244,9.2967,0,=,5170048,Wesel,330350,5729450,Wesel
40200899,1985-07-19,1244,0.08854,Konzentration zu gering zur Bestimmung,<,5170048,Wesel,338250,5729850,Wesel
40100285,1985-07-19,1244,38.0722,0,=,5170048,Wesel,338350,5727350,Wesel
40200589,1985-08-07,1244,0.08854,Konzentration zu gering zur Bestimmung,<,5154056,Uedem,316850,5725950,Kleve
40200255,1985-08-07,1244,0.8854,Konzentration zu gering zur Bestimmung,<,5170004,Alpen,322950,5720350,Wesel
